ProteinId	SampleName	Intensity	techRep	bioRep	Replicate	Imputed	log2NInt	log2NIntNorm	nRLE	z_norm	RunId	Condition
O00154	LFQ.intensity.4_hu_P2	16435000	1	2	2	0	23.9702681206298	23.9702681206298	1.92600767146546	1.0116249897852	Parental_SKBR3.2	Parental_SKBR3
O00154	LFQ.intensity.6_hu_P3	12966000	1	3	3	0	23.6282301422428	23.6282301422428	1.58396969307845	0.831971413364796	Parental_SKBR3.3	Parental_SKBR3
O00159	LFQ.intensity.2_hu_P1	35542000	1	1	1	0	25.0830215304092	25.0830215304092	-0.167388521823959	-0.90792441211215	Parental_SKBR3.1	Parental_SKBR3
O00159	LFQ.intensity.4_hu_P2	43259000	1	2	2	0	25.366496979726	25.366496979726	0.116086927492841	0.629661784747042	Parental_SKBR3.2	Parental_SKBR3
O00159	LFQ.intensity.6_hu_P3	44108000	1	3	3	0	25.3945370096451	25.3945370096451	0.144126957411931	0.781752426342356	Parental_SKBR3.3	Parental_SKBR3
Q12965	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	21.5331804943748	-0.827757131116957	-0.888951079986288	Parental_SKBR3.1	Parental_SKBR3
Q12965	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	21.0912465866757	-1.26969103881611	-1.3635560211743	Parental_SKBR3.2	Parental_SKBR3
Q12965	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	22.1251666710735	-0.235770954418303	-0.25320089272651	Parental_SKBR3.3	Parental_SKBR3
O00170	LFQ.intensity.2_hu_P1	10586000	1	1	1	0	23.335654223297	23.335654223297	0.0801172241261483	0.421874092597508	Parental_SKBR3.1	Parental_SKBR3
O00170	LFQ.intensity.4_hu_P2	10097000	1	2	2	0	23.2674233702545	23.2674233702545	0.0118863710836443	0.062590186690618	Parental_SKBR3.2	Parental_SKBR3
O00170	LFQ.intensity.6_hu_P3	7846500	1	3	3	0	22.9036178400612	22.9036178400612	-0.351919159109574	-1.8531043422481	Parental_SKBR3.3	Parental_SKBR3
O00193	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.5239926060027	-0.446138347600932	-0.684662512077624	Parental_SKBR3.1	Parental_SKBR3
O00193	LFQ.intensity.4_hu_P2	2490800	1	2	2	0	21.248177753652	21.248177753652	0.278046800048397	0.426702213831131	Parental_SKBR3.2	Parental_SKBR3
O00193	LFQ.intensity.6_hu_P3	4454500	1	3	3	0	22.086832073349	22.086832073349	1.11670111974541	1.71373610449798	Parental_SKBR3.3	Parental_SKBR3
O00217	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.0091778368051	-0.645320703013436	-0.936946502909829	Parental_SKBR3.1	Parental_SKBR3
O00217	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.4113234107986	-0.243175129019903	-0.353067994976602	Parental_SKBR3.2	Parental_SKBR3
O00217	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	20.9929841691631	0.338485629344575	0.491450104139971	Parental_SKBR3.3	Parental_SKBR3
O00231	LFQ.intensity.2_hu_P1	23973000	1	1	1	0	24.5149071244836	24.5149071244836	-0.525312403411768	-1.4549202331089	Parental_SKBR3.1	Parental_SKBR3
O00231	LFQ.intensity.4_hu_P2	30590000	1	2	2	0	24.8665567711077	24.8665567711077	-0.173662756787692	-0.480981330246321	Parental_SKBR3.2	Parental_SKBR3
O00231	LFQ.intensity.6_hu_P3	43025000	1	3	3	0	25.358671856477	25.358671856477	0.318452328581671	0.881994662842447	Parental_SKBR3.3	Parental_SKBR3
O00232	LFQ.intensity.2_hu_P1	47427000	1	1	1	0	25.4992052776847	25.4992052776847	1.26350973098528	0.68359180763948	Parental_SKBR3.1	Parental_SKBR3
O00232	LFQ.intensity.4_hu_P2	36188000	1	2	2	0	25.1090080407859	25.1090080407859	0.873312494086509	0.472484898079264	Parental_SKBR3.2	Parental_SKBR3
O00232	LFQ.intensity.6_hu_P3	34067000	1	3	3	0	25.021871570974	25.021871570974	0.786176024274617	0.425341789127041	Parental_SKBR3.3	Parental_SKBR3
O00264	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.7516311136042	-0.719097637443245	-0.444330622777135	Parental_SKBR3.1	Parental_SKBR3
O00264	LFQ.intensity.4_hu_P2	13452000	1	2	2	0	23.6813173481887	23.6813173481887	2.21058859714123	1.36592328625099	Parental_SKBR3.2	Parental_SKBR3
O00264	LFQ.intensity.6_hu_P3	10213000	1	3	3	0	23.2839033746376	23.2839033746376	1.81317462359014	1.1203610855516	Parental_SKBR3.3	Parental_SKBR3
O00267	LFQ.intensity.2_hu_P1	4903500	1	1	1	0	22.2253804471505	22.2253804471505	1.15657559201962	1.44474930109737	Parental_SKBR3.1	Parental_SKBR3
O00267	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.2895924528696	-0.779212402261273	-0.973361863540245	Parental_SKBR3.2	Parental_SKBR3
O00267	LFQ.intensity.6_hu_P3	3926400	1	3	3	0	21.9047757234376	21.9047757234376	0.835970868306742	1.04426233447908	Parental_SKBR3.3	Parental_SKBR3
