ProteinId	GeneName	Description	intensities_LFQ.intensity.1_hu_C1	imputed_LFQ.intensity.1_hu_C1	intensities_LFQ.intensity.2_hu_P1	imputed_LFQ.intensity.2_hu_P1	intensities_LFQ.intensity.3_hu_C2	imputed_LFQ.intensity.3_hu_C2	intensities_LFQ.intensity.4_hu_P2	imputed_LFQ.intensity.4_hu_P2	intensities_LFQ.intensity.5_hu_C3	imputed_LFQ.intensity.5_hu_C3	intensities_LFQ.intensity.6_hu_P3	imputed_LFQ.intensity.6_hu_P3	AveExpr	t	adj.P.Val	logFC AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.L AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.R AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	P.Value AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	adj.P.Val AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	NImputed: AZD8931_resistant_SKBR3_AZDRc	NImputed: Parental_SKBR3	NReplicates: AZD8931_resistant_SKBR3_AZDRc	NReplicates: Parental_SKBR3
O00629			24.7250483298509	0	24.5010596612829	0	24.4101521530584	0	24.0830215304092	0	24.5047612931058	0	24.2707772318822	0	24.4158033665982	1.54267778783093	0.208694206856203	0.261701117480236	-0.148654297632855	0.672056532593327	0.171517400683148	0.208694206856203	0	0	3	3
O14495			22.4742228414262	0	20.7128645297499	1	22.4888806220134	0	20.1730591771346	1	22.4660784534513	0	19.9750124992515	1	21.3816863538378	7.3784092301592	0.000856601957893264	2.18941523691828	1.47162885358067	2.9072016202559	0.000252945868001091	0.000856601957893264	0	3	3	3
O14579			21.0362094672396	1	23.5023957712879	0	22.6820678862968	0	23.3978041314746	0	21.5367720508047	1	23.7229659174788	0	22.6463692040971	-4.01562345167873	0.0122475682460326	-1.7893721386334	-2.86892381095309	-0.709820466313711	0.00641222323025983	0.0122475682460326	2	0	3	3
P47813			25.8029440543504	0	25.7139247097874	0	25.7637497170663	0	25.6560005650841	0	25.8380022391527	0	25.3564234913978	0	25.6885074628065	1.77498845067374	0.157824279082237	0.226115748100021	-0.0820363271874258	0.534267823387468	0.12389587126021	0.157824279082237	0	0	3	3
O14684			21.4382676241384	1	23.7071459302548	0	21.3438419482616	1	23.7720318031937	0	20.9787735555294	1	23.9275052728288	0	22.5279276890344	-10.7293392111256	0.000191267234565025	-2.54859995944932	-3.12319055578326	-1.97400936311539	2.79508881429565e-05	0.000191267234565025	3	0	3	3
O14737			22.5699900019869	0	24.4148684304269	0	20.0309311090819	0	23.8570933390717	0	22.9258767444522	0	21.3133997235487	1	22.5186932247614	-1.25926300087413	0.29303656329725	-1.35285454584213	-3.95559227425339	1.24988318256913	0.252867903956383	0.29303656329725	0	1	3	3
O14744			23.5294572444896	0	23.0268516489961	0	22.8597114545086	0	23.3329259792145	0	23.1369767228952	0	22.6004819109538	0	23.0810674935096	0.625371293662791	0.58965676991925	0.188628627576328	-0.540995993920096	0.918253249072752	0.553693404121035	0.58965676991925	0	0	3	3
O14745			22.8944321931669	0	26.6952457112208	0	22.9232491314673	0	26.8637242537562	0	22.5378449609086	0	26.7931518011319	0	24.7846080086086	-26.6851507576472	9.35285987222583e-06	-3.99886516018874	-4.36135590086117	-3.63637441951631	1.01661520350281e-07	9.35285987222583e-06	0	0	3	3
O14776			22.4627878150085	0	23.9369685570668	0	22.5034637690788	0	24.0391727532044	0	22.3659699507742	0	24.4429733533094	0	23.291889366407	-7.55138894735338	0.000778654856941317	-1.69563104290638	-2.23879924409674	-1.15246284171602	0.000221465240108309	0.000778654856941317	0	0	3	3
O14818			22.4393632095229	0	22.1372084067599	1	21.8388985737164	1	20.4331909481262	1	22.5139559670725	0	20.5484688832353	1	21.6518476647388	2.34180131013436	0.0791415503409865	1.22444983739683	-0.0422878706677765	2.49118754546143	0.0559630165756613	0.0791415503409865	1	3	3	3
O14828			22.509371996231	0	24.1457711039969	0	23.2074248876452	0	23.7004939048879	0	19.9359549046764	1	24.5358771588501	0	23.0058156593813	-2.66425245969467	0.0545472007707543	-2.2431301263941	-4.28287024696615	-0.20339000582206	0.0358377744194328	0.0545472007707543	1	0	3	3
O14907			24.4542520958071	0	23.0464352866119	0	24.5791133390331	0	23.7485777833954	0	24.4762394118057	0	23.6084001253472	0	23.9855030070001	4.62692025751535	0.00661963593532557	1.03539721709716	0.494088779413741	1.57670565478058	0.0031652663265177	0.00661963593532557	0	0	3	3
Q5SRD1			21.9276318591307	0	22.1041200894057	0	22.0265815256465	0	21.9541494415793	0	21.9107525092961	0	21.7828078933678	0	21.9510072197377	0.0351231629201946	0.977791798047172	0.0079628232401916	-0.540444537433282	0.556370183913665	0.973068166172548	0.977791798047172	0	0	3	3
O14929			20.2552302648073	1	21.3887425720284	0	21.1119412231947	1	21.5959603850482	0	20.7074028508752	1	21.7841667397032	0	21.1405740059428	-2.73132770411995	0.049911023053026	-0.898098452634223	-1.69348814104697	-0.102708764221471	0.0324903881951461	0.049911023053026	3	0	3	3
P19105			28.0670726575417	0	26.5489552193927	0	27.2623062195311	0	26.278614073613	0	27.4403141235687	0	26.4926197059283	0	27.0149803332626	5.25032110605849	0.00391341477529276	1.14983466723581	0.619261504934956	1.68040782953666	0.00168519034201147	0.00391341477529276	0	0	3	3
O14964			21.1834367498848	1	23.1069015435156	0	20.5197785612818	1	23.0382518929039	0	21.1431445895401	1	22.9659956014665	0	21.9929181564321	-7.63856374508539	0.000735143127414106	-2.08826304572648	-2.74957034156822	-1.42695574988474	0.000207313913346852	0.000735143127414106	3	0	3	3
O14979			24.1358658200427	0	25.0571783466358	0	24.2639184696981	0	24.6600877541765	0	24.1362570805991	0	24.6395902225789	0	24.4821496156219	-3.7505330815345	0.0158650660382496	-0.606938317683792	-0.998392893632348	-0.215483741735236	0.00868938097626353	0.0158650660382496	0	0	3	3
O14980			24.4404408647653	0	24.8088220232008	0	24.151279208873	0	24.8597493633044	0	24.6982167313672	0	24.8184600848211	0	24.629494712722	-2.38054989612628	0.0753357725902708	-0.39903155544026	-0.804502529626593	0.0064394187460734	0.052755380751737	0.0753357725902708	0	0	3	3
O15020			20.3006654676745	1	23.0963065852294	0	21.2598279996261	1	23.9858961237502	0	20.5669050640293	0	24.2246447160718	0	22.2390409927302	-7.4518021174427	0.000844189649952538	-3.05981629790717	-4.05460257439838	-2.06503002141596	0.000246731757594824	0.000844189649952538	2	0	3	3
O15027			21.2279945159624	1	20.8715696303631	1	21.2861545160789	1	21.7479687671887	1	20.5070091582263	1	20.1770494583726	1									3	3	3	3
O15031			22.7755925993042	0	22.216556416262	0	20.2510181826685	1	19.9820334645627	1	20.3440890967095	1	22.2822072501657	0	21.3085828349454	-0.399084922409975	0.728613930034801	-0.370032417436068	-2.61634504358206	1.87628020870992	0.703094843113293	0.728613930034801	2	1	3	3
O15042			21.8981466948918	0	21.8131940376373	0	20.6894541604353	1	21.7337204180732	0	21.3626030996758	0	23.1594944362795	0	21.7761021411655	-1.79110537707153	0.15545344414484	-0.918734978995694	-2.16143086162231	0.323960903630919	0.121428591758341	0.15545344414484	1	0	3	3
O15067			22.7112275236839	0	22.5759324983964	0	22.7427312987436	0	22.2793192542613	0	22.8524334980341	0	22.3422081691185	0	22.5839753737063	1.69228596970692	0.174472917053203	0.369644132895072	-0.158727972463919	0.898016238254063	0.139177973084107	0.174472917053203	0	0	3	3
O15075			23.8903184637679	0	23.2938981794957	0	23.6705525240247	0	23.4229086162029	0	24.2358605618576	0	23.3368802519216	0	23.6417364328784	2.74570370339146	0.0490337888310173	0.581014834009984	0.0691404821357047	1.09288918588426	0.0318601188298156	0.0490337888310173	0	0	3	3
O15143			25.1364526710932	0	26.0608515862691	0	25.7304485767354	0	25.7731643651053	0	25.7450419527652	0	25.8355467923031	0	25.7135843240452	-1.79541145554449	0.154819218562262	-0.352539847694597	-0.82824731225725	0.123167616868055	0.120695417369493	0.154819218562262	0	0	3	3
O15144			25.2430353553906	0	24.7417031522912	0	25.3449595553663	0	24.7795654758791	0	25.3432320809078	0	24.6101475827772	0	25.0104405337687	5.33868916734562	0.00358591073343583	0.599936926905713	0.328104804230319	0.871769049581107	0.00151145271252307	0.00358591073343583	0	0	3	3
O15145			25.1991792717329	0	24.020558161892	0	24.9857224410869	0	24.0784681296678	0	25.2972611065217	0	23.6771286159259	0	24.5430529544712	7.36837221451366	0.000859784668755161	1.23533597061861	0.829786957100335	1.64088498413689	0.000254924077511343	0.000859784668755161	0	0	3	3
O15160			21.8627805959332	1	22.9283730702203	0	22.3762621365664	0	23.0804050812572	0	20.0421724517311	1	22.7967945656086	0	22.1811313168861	-2.49171117873007	0.066584428065323	-1.50811917761848	-2.97445588806933	-0.0417824671676312	0.0454350263972313	0.066584428065323	2	0	3	3
O15212			23.9774483365527	0	21.304532535633	1	24.1552227968617	0	20.4786692299208	1	23.8771762725056	0	24.6124554900439	0	23.0675841102529	1.81596002827242	0.151227249171666	1.87139671677408	-0.625239831308356	4.36803326485651	0.117255910589625	0.151227249171666	0	2	3	3
O15231			20.5487961674962	1	22.1969154441554	0	19.6733754518651	1	20.6427594814459	1	20.9366407851528	1	22.2310476973046	0	21.0382558379033	-2.28266142878963	0.0848765214604863	-1.30397007279728	-2.68792475460665	0.0799846090120939	0.0607871705628845	0.0848765214604863	3	1	3	3
O15260			20.1455248458723	1	20.7627544623412	1	20.621348024511	1	20.7150283187855	1	19.5735508911038	1	20.6296171534553	1									3	3	3	3
O15270			20.9139332501757	1	21.3163131766236	1	20.5190661127904	1	20.825655688148	1	21.4002104708484	1	20.8084413122836	1									3	3	3	3
O15294			23.9386743480976	0	23.9678081321435	0	24.3978693985035	0	24.0969177876506	0	24.3798748807518	0	24.2346186540058	0	24.1692938668588	0.742040303652968	0.524724919342777	0.139024684517647	-0.314179845132061	0.592229214167355	0.48480019721887	0.524724919342777	0	0	3	3
O15305			23.9760501220962	0	24.4576999966052	0	22.6258247590683	0	24.853433303234	0	24.112671120078	0	20.0550805498801	1	23.3467933084936	0.345930296448159	0.763791137299027	0.449444050507722	-2.69817947309715	3.59706757411259	0.740729810689757	0.763791137299027	0	1	3	3
